"","source","target"
"490","Simple Assault","Robbery"
"491","Simple Assault","Destruction/Damage/Vandalism of Property"
"492","Robbery","Destruction/Damage/Vandalism of Property"
"493","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"494","Simple Assault","Robbery"
"495","Drug/Narcotic Violations","Weapon Law Violations"
"496","Intimidation","Simple Assault"
"497","Intimidation","Aggravated Assault"
"498","Simple Assault","Aggravated Assault"
"499","Destruction/Damage/Vandalism of Property","Simple Assault"
"500","Destruction/Damage/Vandalism of Property","All Other Larceny"
"501","Drug/Narcotic Violations","Simple Assault"
"502","Drug Equipment Violations","Drug/Narcotic Violations"
"503","Drug Equipment Violations","Drug/Narcotic Violations"
"504","Weapon Law Violations","Robbery"
"505","Simple Assault","All Other Larceny"
"506","Simple Assault","Stolen Property Offenses"
"507","Simple Assault","All Other Larceny"
"508","Stolen Property Offenses","All Other Larceny"
"509","Drug Equipment Violations","Drug/Narcotic Violations"
"510","Drug/Narcotic Violations","Drug Equipment Violations"
"511","Drug Equipment Violations","Drug/Narcotic Violations"
"512","Simple Assault","Weapon Law Violations"
"513","Robbery","Stolen Property Offenses"
"514","Drug Equipment Violations","Drug/Narcotic Violations"
"515","Drug/Narcotic Violations","Drug Equipment Violations"
"516","Drug/Narcotic Violations","Drug Equipment Violations"
"517","Drug Equipment Violations","Drug/Narcotic Violations"
"518","Drug Equipment Violations","Simple Assault"
"519","Drug/Narcotic Violations","Simple Assault"
"520","Destruction/Damage/Vandalism of Property","All Other Larceny"
"521","Weapon Law Violations","Drug/Narcotic Violations"
"522","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"523","Drug Equipment Violations","Drug/Narcotic Violations"
"524","Kidnapping/Abduction","Weapon Law Violations"
"525","Kidnapping/Abduction","Robbery"
"526","Weapon Law Violations","Robbery"
"527","Simple Assault","Rape"
"528","Drug Equipment Violations","Simple Assault"
"529","Drug Equipment Violations","Drug/Narcotic Violations"
"530","Simple Assault","Drug/Narcotic Violations"
"531","Simple Assault","Intimidation"
"532","Intimidation","Destruction/Damage/Vandalism of Property"
"533","Weapon Law Violations","Robbery"
"534","Purse-snatching","Intimidation"
"535","Simple Assault","Weapon Law Violations"
"536","Purse-snatching","Stolen Property Offenses"
"537","Purse-snatching","Stolen Property Offenses"
"538","Drug/Narcotic Violations","Drug Equipment Violations"
"539","Destruction/Damage/Vandalism of Property","Robbery"
"540","Intimidation","Weapon Law Violations"
"541","Simple Assault","Weapon Law Violations"
"542","Drug/Narcotic Violations","Intimidation"
"543","Drug/Narcotic Violations","Drug Equipment Violations"
"544","Drug/Narcotic Violations","Weapon Law Violations"
"545","Drug Equipment Violations","Weapon Law Violations"
"546","Weapon Law Violations","Simple Assault"
"547","All Other Larceny","Destruction/Damage/Vandalism of Property"
"548","All Other Larceny","Destruction/Damage/Vandalism of Property"
"549","Destruction/Damage/Vandalism of Property","All Other Larceny"
"550","Simple Assault","Aggravated Assault"
"551","Purse-snatching","Stolen Property Offenses"
"552","Intimidation","Simple Assault"
"553","Simple Assault","Destruction/Damage/Vandalism of Property"
"554","Destruction/Damage/Vandalism of Property","All Other Larceny"
"555","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"556","Robbery","Stolen Property Offenses"
"557","Destruction/Damage/Vandalism of Property","All Other Larceny"
"558","Drug/Narcotic Violations","Drug Equipment Violations"
"559","Weapon Law Violations","Simple Assault"
"560","Drug Equipment Violations","Drug/Narcotic Violations"
"561","Drug/Narcotic Violations","Stolen Property Offenses"
"562","Simple Assault","Intimidation"
"563","Simple Assault","Weapon Law Violations"
"564","Intimidation","Weapon Law Violations"
"565","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"566","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"567","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"568","Intimidation","Simple Assault"
"569","Aggravated Assault","Weapon Law Violations"
"570","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"571","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"572","Theft From Motor Vehicle","Motor Vehicle Theft"
"573","Destruction/Damage/Vandalism of Property","Motor Vehicle Theft"
"574","Drug Equipment Violations","Drug/Narcotic Violations"
"575","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"576","Drug/Narcotic Violations","Drug Equipment Violations"
"577","Counterfeiting/Forgery","All Other Larceny"
"578","Simple Assault","Fondling"
"579","Simple Assault","Drug/Narcotic Violations"
"580","Simple Assault","Weapon Law Violations"
"581","Simple Assault","Drug/Narcotic Violations"
"582","Destruction/Damage/Vandalism of Property","Robbery"
"583","Simple Assault","All Other Larceny"
"584","Weapon Law Violations","Drug/Narcotic Violations"
"585","Drug Equipment Violations","Drug/Narcotic Violations"
"586","Simple Assault","Weapon Law Violations"
"587","Drug/Narcotic Violations","Stolen Property Offenses"
"588","Drug/Narcotic Violations","Drug Equipment Violations"
"589","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"590","Drug/Narcotic Violations","Weapon Law Violations"
"591","Drug/Narcotic Violations","Simple Assault"
"592","Drug/Narcotic Violations","Weapon Law Violations"
"593","Simple Assault","Weapon Law Violations"
"594","Aggravated Assault","Simple Assault"
"595","Simple Assault","Purse-snatching"
"596","Stolen Property Offenses","Simple Assault"
"597","Destruction/Damage/Vandalism of Property","Simple Assault"
"598","All Other Larceny","Aggravated Assault"
"599","Drug/Narcotic Violations","Simple Assault"
"600","Drug/Narcotic Violations","Weapon Law Violations"
"601","Simple Assault","Weapon Law Violations"
"602","Drug/Narcotic Violations","Drug Equipment Violations"
"603","Drug/Narcotic Violations","Simple Assault"
"604","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"605","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"606","Drug/Narcotic Violations","Drug Equipment Violations"
"607","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"608","Simple Assault","Destruction/Damage/Vandalism of Property"
"609","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"610","Drug/Narcotic Violations","Drug Equipment Violations"
"611","Simple Assault","All Other Larceny"
"612","Destruction/Damage/Vandalism of Property","All Other Larceny"
"613","Drug/Narcotic Violations","Purse-snatching"
"614","Simple Assault","Drug/Narcotic Violations"
"615","Motor Vehicle Theft","Destruction/Damage/Vandalism of Property"
"616","Destruction/Damage/Vandalism of Property","All Other Larceny"
"617","Robbery","Destruction/Damage/Vandalism of Property"
"618","Drug/Narcotic Violations","Drug Equipment Violations"
"619","Intimidation","Destruction/Damage/Vandalism of Property"
"620","Intimidation","Destruction/Damage/Vandalism of Property"
"621","Destruction/Damage/Vandalism of Property","Motor Vehicle Theft"
"622","Kidnapping/Abduction","Robbery"
"623","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"624","Simple Assault","Weapon Law Violations"
"625","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"626","Fondling","Simple Assault"
"627","Drug Equipment Violations","Drug/Narcotic Violations"
"628","Drug Equipment Violations","Simple Assault"
"629","Simple Assault","Drug/Narcotic Violations"
"630","Drug/Narcotic Violations","Weapon Law Violations"
"631","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"632","Stolen Property Offenses","Simple Assault"
"633","Drug Equipment Violations","Drug/Narcotic Violations"
"634","Drug/Narcotic Violations","Drug Equipment Violations"
"635","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"636","All Other Larceny","Simple Assault"
"637","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"638","All Other Larceny","Destruction/Damage/Vandalism of Property"
"639","Destruction/Damage/Vandalism of Property","All Other Larceny"
"640","Weapon Law Violations","Simple Assault"
"641","Purse-snatching","Stolen Property Offenses"
"642","All Other Larceny","Destruction/Damage/Vandalism of Property"
"643","Weapon Law Violations","Intimidation"
"644","Drug Equipment Violations","Simple Assault"
"645","Drug Equipment Violations","Drug/Narcotic Violations"
"646","Simple Assault","Drug/Narcotic Violations"
"647","All Other Larceny","Purse-snatching"
"648","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"649","Simple Assault","Purse-snatching"
"650","Intimidation","Aggravated Assault"
"651","Simple Assault","Drug/Narcotic Violations"
"652","Weapon Law Violations","Drug/Narcotic Violations"
"653","Simple Assault","Aggravated Assault"
"654","Burglary/Breaking & Entering","Destruction/Damage/Vandalism of Property"
"655","Destruction/Damage/Vandalism of Property","All Other Larceny"
"656","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"657","Drug Equipment Violations","Drug/Narcotic Violations"
"658","Drug Equipment Violations","Robbery"
"659","Drug/Narcotic Violations","Robbery"
"660","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"661","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"662","Destruction/Damage/Vandalism of Property","All Other Larceny"
"663","Simple Assault","Drug/Narcotic Violations"
"664","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"665","All Other Larceny","Simple Assault"
"666","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"667","Destruction/Damage/Vandalism of Property","All Other Larceny"
"668","Drug/Narcotic Violations","Weapon Law Violations"
"669","All Other Larceny","Destruction/Damage/Vandalism of Property"
"670","Kidnapping/Abduction","Simple Assault"
"671","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"672","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"673","All Other Larceny","Destruction/Damage/Vandalism of Property"
"674","Destruction/Damage/Vandalism of Property","All Other Larceny"
"675","Pocket-picking","Credit Card/Automated Teller Machine Fraud"
"676","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"677","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"678","Motor Vehicle Theft","Destruction/Damage/Vandalism of Property"
"679","Destruction/Damage/Vandalism of Property","Simple Assault"
"680","Destruction/Damage/Vandalism of Property","Robbery"
"681","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"682","Drug Equipment Violations","Intimidation"
"683","Destruction/Damage/Vandalism of Property","Motor Vehicle Theft"
"684","Drug/Narcotic Violations","All Other Larceny"
"685","Drug/Narcotic Violations","Simple Assault"
"686","All Other Larceny","Simple Assault"
"687","Simple Assault","Destruction/Damage/Vandalism of Property"
"688","Drug/Narcotic Violations","Weapon Law Violations"
"689","All Other Larceny","Destruction/Damage/Vandalism of Property"
"690","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"691","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"692","Aggravated Assault","All Other Larceny"
"693","Drug/Narcotic Violations","Intimidation"
"694","Drug/Narcotic Violations","Drug Equipment Violations"
"695","Drug Equipment Violations","Drug/Narcotic Violations"
"696","Destruction/Damage/Vandalism of Property","All Other Larceny"
"697","Destruction/Damage/Vandalism of Property","All Other Larceny"
"698","Simple Assault","Drug Equipment Violations"
"699","Stolen Property Offenses","Simple Assault"
"700","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"701","Simple Assault","Drug Equipment Violations"
"702","Simple Assault","Drug/Narcotic Violations"
"703","Drug Equipment Violations","Drug/Narcotic Violations"
"704","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"705","Robbery","Purse-snatching"
"706","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"707","Weapon Law Violations","Simple Assault"
"708","Drug Equipment Violations","Drug/Narcotic Violations"
"709","All Other Larceny","Destruction/Damage/Vandalism of Property"
"710","Kidnapping/Abduction","Robbery"
"711","Destruction/Damage/Vandalism of Property","Intimidation"
"712","Weapon Law Violations","Stolen Property Offenses"
"713","Aggravated Assault","Simple Assault"
"714","All Other Larceny","Destruction/Damage/Vandalism of Property"
"715","Simple Assault","Robbery"
"716","Destruction/Damage/Vandalism of Property","All Other Larceny"
"717","Drug/Narcotic Violations","Drug Equipment Violations"
"718","Stolen Property Offenses","Weapon Law Violations"
"719","Stolen Property Offenses","Drug/Narcotic Violations"
"720","Weapon Law Violations","Drug/Narcotic Violations"
"721","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"722","Destruction/Damage/Vandalism of Property","Aggravated Assault"
"723","Simple Assault","Drug/Narcotic Violations"
"724","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"725","All Other Larceny","Destruction/Damage/Vandalism of Property"
"726","Robbery","Drug/Narcotic Violations"
"727","Robbery","Drug Equipment Violations"
"728","Drug/Narcotic Violations","Drug Equipment Violations"
"729","Drug/Narcotic Violations","Simple Assault"
"730","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"731","Aggravated Assault","Fondling"
"732","Simple Assault","Aggravated Assault"
"733","Drug Equipment Violations","Stolen Property Offenses"
"734","Weapon Law Violations","Drug/Narcotic Violations"
"735","All Other Larceny","Destruction/Damage/Vandalism of Property"
"736","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"737","Drug/Narcotic Violations","Drug Equipment Violations"
"738","Drug/Narcotic Violations","Simple Assault"
"739","Drug Equipment Violations","Simple Assault"
"740","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
